,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region,year
57242,sttspi1,Streaked Tit-Spinetail,Leptasthenura striata,L20995200,Cruce A-653 (Rotonda Mamiña) - Macaya - Jauja Pozo Almonte CL-Tarapacá (-20.0765-69.2092),2022-09-24,2.0,-20.07652,-69.209153,True,-1,Tarapacá,2022
57246,chutap1,Chucao Tapaculo,Scelorchilus rubecula,L12591688,Malalcahuello - Cerro Caracoles,2022-05-01,2.0,-38.4720459,-71.6060181,True,-1,Araucanía,2022
57250,whtcar1,White-throated Caracara,Daptrius albogularis,L6704344,Sierra Baguales--Las cumbres,2022-01-30,6.0,-50.7354663,-72.4128278,False,-1,Magallanes,2022
57260,willet1,Willet,Tringa semipalmata,L504553,SN Humedal Río Maipo--Desembocadura,2022-06-13,1.0,-33.6198013,-71.6275442,False,-1,Valparaíso,2022
57263,killde,Killdeer,Charadrius vociferus,L668852,Río Lluta--Desembocadura,2022-04-24,2.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota,2022
57278,ameoys,American Oystercatcher,Haematopus palliatus,L2297155,Humedal el Membrillo,2022-06-13,1.0,-33.3443051,-71.6503978,False,-1,Valparaíso,2022
57279,crwcin1,Cream-winged Cinclodes,Cinclodes albiventris,L10642454,Laguna Quepiaco,2022-07-18,2.0,-23.0821781,-67.5977552,False,-1,Antofagasta,2022
57283,yebtea1,Yellow-billed Teal,Anas flavirostris,L4051381,Quillaipe,2022-09-10,2.0,-41.5307483,-72.7408648,False,-1,Los Lagos,2022
57287,greyel,Greater Yellowlegs,Tringa melanoleuca,L6531042,Chana,2022-04-10,1.0,-42.7459643,-72.8340326,False,-1,Los Lagos,2022
57295,buwcin1,Buff-winged Cinclodes,Cinclodes fuscus,L18600615,Piscicultura Los Ríos Villarrica Araucanía CL (-39.259 -72.257),2022-04-20,1.0,-39.2589916,-72.2566266,True,-1,Araucanía,2022
57312,whtgre3,White-tufted Grebe,Rollandia rolland,L12649507,Vertedero Lagunitas--Laguna,2022-12-24,10.0,-41.442414,-72.996378,False,-1,Los Lagos,2022
57313,salalb1,Salvin's Albatross,Thalassarche salvini,L570174,Quintero--Pelágico,2022-09-24,2.0,-32.7693779,-71.5838242,False,-1,Valparaíso,2022
57319,auscan1,Austral Canastero,Asthenes anthoides,L504548,Estero Mantagua,2022-08-15,1.0,-32.8844165,-71.5067482,False,-1,Valparaíso,2022
57320,silgre1,Silvery Grebe,Podiceps occipitalis,L1033588,Humedal Pudeto--norte,2022-05-05,1.0,-41.8824444,-73.7927614,False,-1,Los Lagos,2022
57328,whfibi,White-faced Ibis,Plegadis chihi,L7730409,Laguna Quenuir bajo,2022-11-13,1.0,-41.594227,-73.671042,False,-1,Los Lagos,2022
57345,kelgul,Kelp Gull,Larus dominicanus,L17350961,Puerto Nuevo,2022-08-06,20.0,-52.5463618,-71.9469696,False,-1,Magallanes,2022
57347,semsan,Semipalmated Sandpiper,Calidris pusilla,L4905604,Lepihué,2022-03-26,7.0,-41.5931514,-73.5721302,False,-1,Los Lagos,2022
57352,mcrtyr1,Many-colored Rush Tyrant,Tachuris rubrigastra,L504553,SN Humedal Río Maipo--Desembocadura,2022-06-16,1.0,-33.6198013,-71.6275442,False,-1,Valparaíso,2022
57369,gresht1,Great Shrike-Tyrant,Agriornis lividus,L21012572,Vía sin nombre Las Cabras O'Higgins CL (-34155 -71473),2022-09-25,2.0,-34.1554082,-71.4734094,True,-1,Libertador General Bernardo O'Higgins,2022
57374,cosswa1,Coscoroba Swan,Coscoroba coscoroba,L20469348,Quebrada Cruz de Piedra,2022-09-16,2.0,-32.5018144,-71.4353922,True,-1,Valparaíso,2022
57383,ausneg1,Austral Negrito,Lessonia rufa,L504553,SN Humedal Río Maipo--Desembocadura,2022-06-13,2.0,-33.6198013,-71.6275442,False,-1,Valparaíso,2022
57391,bcnher,Black-crowned Night-Heron,Nycticorax nycticorax,L21950145,S-919 Pucón Araucanía CL (-39.251 -71.865),2022-12-28,1.0,-39.2508522,-71.8649524,True,-1,Araucanía,2022
57394,sctear1,Scale-throated Earthcreeper,Upucerthia dumetaria,L4019717,Parcelas Gente Grande--Sector Serrano,2022-11-28,1.0,-53.1375547,-70.2551222,False,-1,Magallanes,2022
57404,categr,Cattle Egret,Bubulcus ibis,L3174926,Parque La Granja,2022-10-20,140.0,-34.9738005,-71.2316662,False,-1,Maule,2022
